"","x"
"1",0.00677028565907278
"2",-0.004889586793273
"3",0.00902702018904566
"4",0.00577184706642431
"5",-0.00723016377954355
"6",0.00851721700792929
"7",0.00820611854359843
"8",0.000836836805894414
"9",-0.00523174579371588
"10",0.0139567664417939
"11",0.00954951944911731
"12",0.00164133062756999
"13",-0.00536383252609784
"14",-0.0022795167864702
"15",0.00666669135818854
"16",0.0114255867527531
"17",-0.00286355740911759
"18",-0.000348830452558957
"19",0.00375322075749907
"20",0.00219894770626716
"21",0.000231187147024414
"22",-0.00262325588284096
"23",0.00111958316877558
"24",0.00385104646620604
"25",-0.00628484264930673
"26",-0.00469111295090663
"27",0.00932182277704907
"28",0.00123124294122956
"29",-0.0116028529411878
"30",-0.000466926078521723
"31",0.00601441387721113
"32",0.00920352300038818
"33",0.00321469852047418
"34",0.00145088032782326
"35",-0.0311950122896203
"36",0.00549559773706676
"37",0.0183854375876669
"38",0.00807675350835346
"39",0.00672533264218966
"40",0
"41",-0.00794605454551434
"42",0.00167810870806662
"43",0.00532077874320436
"44",0.00283881414742471
"45",0.0127318490718684
"46",-0.00396365922958886
"47",-0.00164991787841196
"48",-0.000487997156778164
"49",0.00153825981896016
"50",-0.00533775653689261
"51",-0.00847847622420517
"52",-0.00159774827613646
"53",0.00580812110132722
"54",-0.00611274375237691
"55",-0.00756913281521943
"56",-0.00446120269168215
"57",-0.0041715008347909
"58",0.00197204402405404
"59",0.00447100378629361
"60",-0.00803124128396071
"61",-0.00112488132728039
"62",0.00819423261576002
"63",-0.000847229226170754
"64",0.00130905189447716
"65",0.00869620666011794
"66",0.00907492036597457
"67",-0.000529320591586391
"68",-0.00705912074016979
"69",-0.000380937873640796
"70",-0.0108796660032917
"71",0.00127028136487617
"72",-0.00594183397968884
"73",-0.00516015034695005
"74",-0.00616491085932669
"75",0.00760311684839099
"76",0.000854169954092932
"77",0.000892216441055638
"78",0.00375409230102708
"79",0.0047786132784724
"80",-0.00981309064587776
"81",-0.00630941491732795
"82",0.000624926786731983
"83",-0.0128897135723784
"84",-0.00539362798732412
