replicate,stat
1,1
2,1
3,0.333333333
4,0.666666667
5,1
6,1
7,1
8,0.666666667
9,0.333333333
10,0.333333333
11,0.666666667
12,1
13,0.333333333
14,1
15,0.333333333
16,1
17,0.333333333
18,0.333333333
19,0.666666667
20,1
21,1
22,1
23,0.666666667
24,0.666666667
25,0.666666667
26,1
27,0.666666667
28,1
29,1
30,0.666666667
31,0.666666667
32,0.666666667
33,0.666666667
34,0.666666667
35,0.333333333
36,1
37,1
38,0.333333333
39,1
40,0.666666667
41,0.333333333
42,0.666666667
43,0
44,0.666666667
45,1
46,0.666666667
47,1
48,0.666666667
49,0.666666667
50,1
51,1
52,0.666666667
53,0.666666667
54,0.666666667
55,1
56,0.666666667
57,0.666666667
58,0.666666667
59,0.666666667
60,1
61,1
62,1
63,1
64,1
65,0.666666667
66,0.333333333
67,1
68,0
69,0.333333333
70,1
71,0.333333333
72,0.333333333
73,0.333333333
74,0.666666667
75,0.666666667
76,1
77,0.666666667
78,1
79,1
80,0.333333333
81,1
82,1
83,0.666666667
84,1
85,0
86,0.666666667
87,1
88,0.666666667
89,0.666666667
90,0.333333333
91,0.666666667
92,0.666666667
93,0.666666667
94,0.666666667
95,1
96,0
97,1
98,1
99,1
100,0.666666667
101,1
102,0
103,0.666666667
104,1
105,0.333333333
106,1
107,0.666666667
108,0.666666667
109,1
110,0.333333333
111,1
112,0.666666667
113,1
114,0.333333333
115,0.666666667
116,0.666666667
117,1
118,0.666666667
119,0.666666667
120,1
121,0.666666667
122,0.666666667
123,0.333333333
124,1
125,0.333333333
126,0.666666667
127,0.666666667
128,0.333333333
129,1
130,1
131,0.666666667
132,0.333333333
133,0.666666667
134,0.666666667
135,0.666666667
136,0.333333333
137,1
138,0.333333333
139,1
140,0.666666667
141,1
142,0.666666667
143,0.666666667
144,0.333333333
145,0.666666667
146,1
147,0.666666667
148,1
149,0.666666667
150,1
151,1
152,0.666666667
153,0.666666667
154,1
155,1
156,0.333333333
157,0.666666667
158,0.333333333
159,0.333333333
160,0.333333333
161,0.666666667
162,1
163,1
164,0.666666667
165,0.666666667
166,0.666666667
167,0.666666667
168,0.666666667
169,0.666666667
170,0.666666667
171,0.666666667
172,0.666666667
173,1
174,0.333333333
175,0.666666667
176,0.666666667
177,0.333333333
178,0.666666667
179,1
180,0.666666667
181,0.666666667
182,0.666666667
183,0.333333333
184,0
185,0.666666667
186,1
187,0.666666667
188,1
189,1
190,1
191,1
192,1
193,1
194,0.666666667
195,0.333333333
196,0.333333333
197,0.666666667
198,1
199,1
200,0.333333333
201,1
202,0.333333333
203,1
204,1
205,0.333333333
206,1
207,0.333333333
208,1
209,1
210,0.666666667
211,0
212,1
213,0.666666667
214,0.666666667
215,0.333333333
216,1
217,0.666666667
218,0.333333333
219,0.666666667
220,1
221,0.666666667
222,0.666666667
223,0.666666667
224,1
225,1
226,1
227,0.666666667
228,1
229,0.666666667
230,1
231,0
232,0.666666667
233,0.333333333
234,1
235,0.666666667
236,0.666666667
237,0.666666667
238,0.666666667
239,0.333333333
240,0.666666667
241,1
242,0.333333333
243,0.666666667
244,0.333333333
245,1
246,0.333333333
247,1
248,1
249,1
250,0.666666667
251,0.666666667
252,0.333333333
253,1
254,0.333333333
255,1
256,0.666666667
257,1
258,0.666666667
259,0.333333333
260,0.666666667
261,0.666666667
262,1
263,0
264,0.666666667
265,1
266,1
267,1
268,0.666666667
269,1
270,1
271,0.666666667
272,1
273,0.333333333
274,1
275,0.333333333
276,1
277,0.666666667
278,0.666666667
279,0.666666667
280,0.333333333
281,0.666666667
282,1
283,0.333333333
284,0.666666667
285,1
286,0.666666667
287,0.666666667
288,0.666666667
289,1
290,0.666666667
291,1
292,0.333333333
293,0.666666667
294,0.666666667
295,0
296,0.666666667
297,0.333333333
298,0.666666667
299,0.666666667
300,1
301,1
302,0.666666667
303,1
304,0.666666667
305,0.666666667
306,0.666666667
307,0.666666667
308,1
309,0.666666667
310,0.333333333
311,0.333333333
312,1
313,0.666666667
314,0.333333333
315,0.666666667
316,0.666666667
317,0.333333333
318,0.333333333
319,0.666666667
320,0.666666667
321,0.666666667
322,1
323,0.666666667
324,1
325,0.666666667
326,1
327,0.333333333
328,0.666666667
329,0.666666667
330,0.666666667
331,0.666666667
332,0.333333333
333,1
334,0
335,0.666666667
336,1
337,1
338,1
339,0.666666667
340,0
341,1
342,1
343,0
344,0.333333333
345,1
346,0.333333333
347,0.666666667
348,0.333333333
349,1
350,1
351,0.333333333
352,1
353,1
354,0.666666667
355,0.666666667
356,0.666666667
357,0.666666667
358,1
359,0.666666667
360,0.666666667
361,0.666666667
362,0.666666667
363,0.666666667
364,1
365,0.333333333
366,1
367,0.333333333
368,0.666666667
369,1
370,0.333333333
371,1
372,0.666666667
373,0.333333333
374,1
